scenario,build_type,scale,repeat,metric,ms,ops_per_sec
debug_scale1,Debug,1,1,name+color generation,13.650000,3663272.030000
debug_scale1,Debug,1,1,world create/init/destroy,32.580000,5524.350000
debug_scale1,Debug,1,1,protocol serialize+deserialize,35.030000,3425.830000
debug_scale1,Debug,1,1,protocol serialize only,24.710000,4857.320000
debug_scale1,Debug,1,1,protocol deserialize only,18.850000,6365.710000
debug_scale1,Debug,1,1,simulation_tick (serial),418.480000,83.640000
debug_scale1,Debug,1,1,atomic_tick (4 threads),693.850000,43.240000
debug_scale1,Debug,1,1,simulation_tick baseline,399.880000,75.020000
debug_scale1,Debug,1,1,atomic_tick (1 thread),843.260000,23.720000
debug_scale1,Debug,1,1,atomic_tick (2 threads),547.740000,36.510000
debug_scale1,Debug,1,1,atomic_tick (4 threads),328.940000,60.800000
debug_scale1,Debug,1,1,threadpool submit+execute,8.690000,5754402.110000
debug_scale1,Debug,1,1,threadpool tiny tasks,9.790000,5104645.230000
debug_scale1,Debug,1,1,threadpool batched tasks,2.380000,21017234.060000
debug_scale1,Debug,1,2,name+color generation,12.970000,3854752.910000
debug_scale1,Debug,1,2,world create/init/destroy,28.610000,6291.510000
debug_scale1,Debug,1,2,protocol serialize+deserialize,33.440000,3588.090000
debug_scale1,Debug,1,2,protocol serialize only,23.500000,5105.730000
debug_scale1,Debug,1,2,protocol deserialize only,18.240000,6579.670000
debug_scale1,Debug,1,2,simulation_tick (serial),419.420000,83.450000
debug_scale1,Debug,1,2,atomic_tick (4 threads),647.910000,46.300000
debug_scale1,Debug,1,2,simulation_tick baseline,395.400000,75.870000
debug_scale1,Debug,1,2,atomic_tick (1 thread),903.960000,22.120000
debug_scale1,Debug,1,2,atomic_tick (2 threads),455.270000,43.930000
debug_scale1,Debug,1,2,atomic_tick (4 threads),352.000000,56.820000
debug_scale1,Debug,1,2,threadpool submit+execute,10.750000,4652028.270000
debug_scale1,Debug,1,2,threadpool tiny tasks,9.120000,5480052.600000
debug_scale1,Debug,1,2,threadpool batched tasks,1.930000,25920166.020000
debug_scale2,Debug,2,1,name+color generation,25.450000,3928655.610000
debug_scale2,Debug,2,1,world create/init/destroy,54.440000,6612.300000
debug_scale2,Debug,2,1,protocol serialize+deserialize,64.680000,3710.400000
debug_scale2,Debug,2,1,protocol serialize only,45.170000,5313.730000
debug_scale2,Debug,2,1,protocol deserialize only,35.720000,6718.550000
debug_scale2,Debug,2,1,simulation_tick (serial),1215.340000,57.600000
debug_scale2,Debug,2,1,atomic_tick (4 threads),1746.360000,34.360000
debug_scale2,Debug,2,1,simulation_tick baseline,1161.510000,51.660000
debug_scale2,Debug,2,1,atomic_tick (1 thread),2656.840000,15.060000
debug_scale2,Debug,2,1,atomic_tick (2 threads),1682.060000,23.780000
debug_scale2,Debug,2,1,atomic_tick (4 threads),1006.570000,39.740000
debug_scale2,Debug,2,1,threadpool submit+execute,17.070000,5857544.520000
debug_scale2,Debug,2,1,threadpool tiny tasks,17.480000,5722133.210000
debug_scale2,Debug,2,1,threadpool batched tasks,3.280000,30534351.090000
debug_scale2,Debug,2,2,name+color generation,25.380000,3940886.700000
debug_scale2,Debug,2,2,world create/init/destroy,56.420000,6380.600000
debug_scale2,Debug,2,2,protocol serialize+deserialize,65.600000,3658.760000
debug_scale2,Debug,2,2,protocol serialize only,45.460000,5279.600000
debug_scale2,Debug,2,2,protocol deserialize only,36.310000,6610.480000
debug_scale2,Debug,2,2,simulation_tick (serial),1249.820000,56.010000
debug_scale2,Debug,2,2,atomic_tick (4 threads),1902.400000,31.540000
debug_scale2,Debug,2,2,simulation_tick baseline,1137.280000,52.760000
debug_scale2,Debug,2,2,atomic_tick (1 thread),2774.720000,14.420000
debug_scale2,Debug,2,2,atomic_tick (2 threads),1633.980000,24.480000
debug_scale2,Debug,2,2,atomic_tick (4 threads),1013.280000,39.480000
debug_scale2,Debug,2,2,threadpool submit+execute,16.330000,6121824.310000
debug_scale2,Debug,2,2,threadpool tiny tasks,17.310000,5778342.770000
debug_scale2,Debug,2,2,threadpool batched tasks,3.060000,32690421.540000
